Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Jan 2025;Searches: Feb 2025;Searches: Mar 2025;Searches: Apr 2025;Searches: May 2025;Searches: Jun 2025;Searches: Jul 2025;Searches: Aug 2025;Searches: Sep 2025;Searches: Oct 2025;Searches: Nov 2025;Searches: Dec 2025
chaveiro;BRL;3600;-19%;-19%;Alto;67;0,78;5,36;;;;;;4400;4400;5400;4400;3600;2900;3600;3600;3600;3600;2900;2900
chaveiro ribeirao preto;BRL;2400;0%;-21%;Alto;91;0,87;3,59;;;;;;2400;2900;2900;2900;1900;1900;2900;2400;1900;1900;1900;1900
chaveiro em ribeirão preto;BRL;2400;0%;-21%;Alto;91;0,87;3,59;;;;;;2400;2900;2900;2900;1900;1900;2900;2400;1900;1900;1900;1900
chaveiro perto de mim;BRL;1900;19%;0%;Alto;88;0,77;3,56;;;;;;1900;2400;2400;2400;1900;1600;2400;1900;1600;1600;1600;1900
chaveiros perto de mim;BRL;1900;19%;0%;Alto;88;0,77;3,56;;;;;;1900;2400;2400;2400;1900;1600;2400;1900;1600;1600;1600;1900
chaveiro ribeirão preto;BRL;720;22%;-18%;Alto;94;0,88;3,52;;;;;;880;1000;1000;880;720;590;720;590;720;590;590;720
chaveiro 24 horas;BRL;590;22%;0%;Alto;89;0,92;3,54;;;;;;390;590;1000;590;390;480;880;720;480;320;480;390
chaveiros 24 horas;BRL;590;22%;0%;Alto;89;0,92;3,54;;;;;;390;590;1000;590;390;480;880;720;480;320;480;390
chaveiro santa cruz;BRL;390;0%;179%;Baixo;14;0,67;1,39;;;;;;260;320;390;480;390;320;320;390;390;390;390;390
chaveiro japones;BRL;320;0%;86%;Baixo;23;0,64;0,99;;;;;;260;320;260;320;390;320;320;320;320;390;390;390
chaveiro beira rio;BRL;260;52%;129%;Baixo;10;0,6;1,31;;;;;;140;260;140;210;320;320;390;140;210;210;320;320
chaveiro didi;BRL;260;-19%;189%;Baixo;11;0,65;1,04;;;;;;140;210;260;260;320;320;320;320;260;320;260;260
chaveiro iraja;BRL;210;0%;189%;Baixo;20;0,59;1,39;;;;;;90;210;260;320;210;210;210;210;260;260;260;260
chaveiro mais próximo;BRL;170;-21%;-35%;Alto;81;0,83;3,57;;;;;;210;210;210;210;140;170;140;140;110;140;70;110
chaveiro próximo a mim;BRL;170;0%;-18%;Alto;84;0,7;3,5;;;;;;170;170;210;210;210;210;170;170;140;140;140;140
chaveiro 24 horas ribeirão preto;BRL;170;21%;-47%;Alto;100;1,04;3,22;;;;;;210;260;320;210;90;170;140;110;170;140;140;170
porta chaveiro;BRL;170;0%;0%;Alto;100;0,24;1,37;;;;;;170;170;140;140;140;140;170;210;140;170;140;170
chaveiro 24 horas em ribeirão preto;BRL;170;21%;-47%;Alto;100;1,04;3,22;;;;;;210;260;320;210;90;170;140;110;170;140;140;170
chaveiro ribeirão preto 24h;BRL;170;55%;0%;Alto;80;1,27;3,55;;;;;;170;170;320;170;110;140;210;110;170;110;90;170
chaveiro 24 horas em ribeirao preto;BRL;170;21%;-47%;Alto;100;1,04;3,22;;;;;;210;260;320;210;90;170;140;110;170;140;140;170
chaveiro automotivo;BRL;140;22%;22%;Alto;97;1,07;4,14;;;;;;110;140;210;110;140;90;90;140;140;90;110;110
chaveiro 24 horas ribeirao preto;BRL;140;27%;-33%;Alto;100;0,77;3,4;;;;;;210;210;210;140;110;140;170;140;140;110;140;140
alemão chaveiro;BRL;110;27%;1300%;Baixo;8;;;;;;;;10;50;70;90;170;110;140;140;110;110;110;140
chaveiro 24 horas perto de mim;BRL;90;0%;-22%;Alto;93;0,77;2,93;;;;;;170;90;140;110;50;70;90;70;40;70;50;70
chaveiro proximo;BRL;90;0%;-50%;Alto;92;0,68;2,9;;;;;;110;110;90;110;70;50;90;70;90;70;70;70
chaveiro próximo;BRL;90;0%;-50%;Alto;92;0,68;2,9;;;;;;110;110;90;110;70;50;90;70;90;70;70;70
marquinho chaveiro;BRL;90;80%;-18%;Médio;54;0,58;1,78;;;;;;90;110;90;90;70;70;110;70;90;50;50;90
chaveiro 24h;BRL;70;40%;-22%;Alto;91;0,94;3,53;;;;;;70;70;140;70;90;70;90;70;50;50;90;70
chaveiro jardim paulista;BRL;70;0%;-64%;Médio;62;0,82;2,8;;;;;;70;110;90;90;50;70;50;70;70;50;40;50
chaveiros 24h;BRL;70;40%;-22%;Alto;91;0,94;3,53;;;;;;70;70;140;70;90;70;90;70;50;50;90;70
chaveiro 24 horas avenida da saudade;BRL;70;40%;75%;Baixo;12;0,52;1,44;;;;;;30;50;50;40;70;50;70;90;70;50;70;70
chaveiro mais próximo de mim;BRL;50;0%;-40%;Alto;86;0,68;3,7;;;;;;70;50;70;50;30;50;50;70;30;30;40;30
chaveiro ipiranga;BRL;50;40%;75%;Médio;59;0,94;3,55;;;;;;40;30;50;70;40;50;30;40;40;50;40;70
chaveiro 24 h;BRL;50;75%;600%;Baixo;10;1,4;4,58;;;;;;0;10;20;40;70;50;70;70;70;40;70;70
chaveiro automotivo perto de mim;BRL;40;33%;0%;Alto;100;0,86;3,55;;;;;;50;20;40;50;30;30;50;50;40;30;40;40
chaveiro próximo de mim;BRL;40;67%;67%;Alto;87;0,68;3,4;;;;;;20;40;30;40;50;20;40;20;50;30;30;50
chaveiro paulista;BRL;40;67%;400%;Baixo;0;;;;;;;;20;20;30;30;30;40;40;50;50;30;40;50
chaveiro proximos de mim;BRL;40;67%;67%;Alto;87;0,68;3,4;;;;;;20;40;30;40;50;20;40;20;50;30;30;50
didi chaveiro;BRL;40;-20%;0%;Médio;44;0,58;0,88;;;;;;50;40;30;40;30;50;40;40;30;50;50;40
chaveiro centro;BRL;30;-25%;-40%;Alto;71;0,69;2,46;;;;;;30;30;50;30;20;20;50;20;20;40;20;30
chaveiro sos;BRL;30;-25%;200%;Baixo;7;;;;;;;;10;10;10;40;20;30;30;40;30;40;20;30
chaveiro 24h ribeirao preto;BRL;30;100%;0%;Alto;89;0,9;3,38;;;;;;20;50;50;30;30;40;50;50;10;20;20;40
chaveiro ribeirao preto 24h;BRL;30;100%;0%;Alto;89;0,9;3,38;;;;;;20;50;50;30;30;40;50;50;10;20;20;40
copia de chave;BRL;20;-67%;0%;Alto;67;;;;;;;;30;20;30;20;20;30;30;20;10;30;20;10
chaveiro 24h perto de mim;BRL;20;100%;0%;Alto;100;0,74;3,4;;;;;;10;20;30;20;30;20;20;20;10;10;30;20
chaveiro de resina;BRL;20;200%;0%;Alto;91;;;;;;;;20;30;20;20;20;20;10;20;20;10;20;30
cópia de chaves perto de mim;BRL;20;0%;0%;Alto;97;0,45;3,83;;;;;;30;20;30;40;20;30;20;30;20;20;10;20
chaveiro perto;BRL;20;0%;0%;Alto;91;0,65;1,61;;;;;;20;10;30;20;10;10;20;30;10;20;30;20
copia de chave perto de mim;BRL;20;0%;0%;Alto;97;0,45;3,83;;;;;;30;20;30;40;20;30;20;30;20;20;10;20
chaveiros de resina;BRL;20;200%;0%;Alto;91;;;;;;;;20;30;20;20;20;20;10;20;20;10;20;30
chaveiro mais perto de mim;BRL;20;0%;0%;Alto;92;0,93;3,1;;;;;;10;10;10;10;10;20;10;20;10;10;50;10
chaveiro chave de carro;BRL;20;-50%;-50%;Alto;85;0,59;1,61;;;;;;20;20;20;10;10;10;10;20;10;20;20;10
copias de chaves perto de mim;BRL;20;0%;0%;Alto;97;0,45;3,83;;;;;;30;20;30;40;20;30;20;30;20;20;10;20
chaveiro para chave de carro;BRL;20;-50%;-50%;Alto;85;0,59;1,61;;;;;;20;20;20;10;10;10;10;20;10;20;20;10
cópia de chaves;BRL;20;-67%;0%;Alto;67;;;;;;;;30;20;30;20;20;30;30;20;10;30;20;10
chaveiro guarani;BRL;20;-100%;-100%;Desconhecido;;;;;;;;;10;20;10;30;20;30;20;30;10;10;10;0
chaveiro cabral;BRL;20;50%;200%;Baixo;24;0,43;0,99;;;;;;10;10;20;20;20;20;20;30;10;20;10;30
big chaveiro;BRL;20;-100%;-100%;Desconhecido;;;;;;;;;10;10;10;40;40;50;30;0;0;10;0;0
chaveiro capivara;BRL;20;0%;-50%;Alto;100;0,12;1,37;;;;;;20;20;20;10;30;20;10;20;20;20;20;20
chaveiro de capivara;BRL;20;-50%;-50%;Alto;100;;;;;;;;10;30;30;20;20;20;20;20;20;20;10;10
thiago chaveiro;BRL;20;0%;-50%;Médio;46;0,87;2,39;;;;;;20;20;20;10;40;90;10;10;10;10;0;10
